txn_date;account_no;customer_id;account_type;opening_balance;closing_balance
2021/08/29 00:00:00.000;KN11000000001;CA7401;Current;97540.0;195080.0
2021/08/29 00:00:00.000;KN11000000100;CA7401;Current;6.0;12.0
2021/08/29 00:00:00.000;KN11000000199;CA7401;Current;188493.33;0.0
2021/08/29 00:00:00.000;KN11000000298;CA7401;Current;150713.64;0.0
2021/08/29 00:00:00.000;KN11000000397;CA7401;Current;76453.52;0.0
2021/08/29 00:00:00.000;KN11000000496;CA7401;Current;41.33;82.66
2021/08/29 00:00:00.000;KN11000000595;CA7401;Current;118812.11;0.0
2021/08/29 00:00:00.000;KN11000000694;CA7401;Current;4051.85;8103.7
2021/08/29 00:00:00.000;KN11000000793;CA7401;Current;1457.23;0.0
2021/08/29 00:00:00.000;KN11000000892;CA7401;Current;868117.46;0.0
2021/08/29 00:00:00.000;KN11000000991;CA7401;Current;22.0;44.0
2021/08/29 00:00:00.000;KN11000001090;CA7401;Current;56345.0;112690.0
2021/08/29 00:00:00.000;KN11000001189;CA7401;Current;2078410.8;4156821.6
2021/08/29 00:00:00.000;KN11000001288;CA7401;Current;151433.26;0.0
2021/08/29 00:00:00.000;KN11000001387;CA7401;Current;5852.34;0.0
2021/08/29 00:00:00.000;KN11000001486;CA7401;Current;1.76;3.52
2021/08/29 00:00:00.000;KN11000001585;CA7401;Current;18.0;36.0
2021/08/29 00:00:00.000;KN11000001684;CA7401;Current;13933.8;0.0
2021/08/29 00:00:00.000;KN11000001783;CA7401;Current;1361884.25;2723768.5
2021/08/29 00:00:00.000;KN11000001882;CA7401;Current;92824.9;185649.8
2021/08/29 00:00:00.000;KN11000001981;CA7401;Current;1195.68;2391.36
2021/08/29 00:00:00.000;KN11000002080;CA7401;Saving;1074028.0;2148056.0
2021/08/29 00:00:00.000;KN11000002179;CA7401;Saving;61.0;122.0
2021/08/29 00:00:00.000;KN11000002278;CA7401;Saving;14434.14;0.0
2021/08/29 00:00:00.000;KN11000002377;CA7401;Saving;257.0;514.0
2021/08/29 00:00:00.000;KN11000002476;CA7401;Saving;17964.89;0.0
2021/08/29 00:00:00.000;KN11000002575;CA7401;Saving;41074.47;0.0
2021/08/29 00:00:00.000;KN11000002674;CA7401;Saving;21741.1;43482.2
2021/08/29 00:00:00.000;KN11000002773;CA7401;Saving;3.9;7.8
2021/08/29 00:00:00.000;KN11000002872;CA7401;Saving;1414030.0;2828060.0
2021/08/29 00:00:00.000;KN11000002971;CA7401;Saving;85664.78;0.0
2021/08/29 00:00:00.000;KN11000003070;CA7401;Saving;36996.81;0.0
2021/08/29 00:00:00.000;KN11000003169;CA7401;Saving;11594.29;0.0
2021/08/29 00:00:00.000;KN11000003268;CA7401;Saving;30.85;0.0
2021/08/29 00:00:00.000;KN11000003367;CA7401;Saving;293.7;587.4
2021/08/29 00:00:00.000;KN11000003466;CA7401;Saving;507.3;1014.6
2021/08/29 00:00:00.000;KN11000003565;CA7401;Saving;41546.5;0.0
2021/08/29 00:00:00.000;KN11000003664;CA7401;Saving;293.9;587.8
2021/08/29 00:00:00.000;KN11000003763;CA7401;Saving;55700.9;0.0
2021/08/29 00:00:00.000;KN11000003862;CA7401;Saving;1774012.5;3548025.0
2021/08/29 00:00:00.000;KN11000003961;CA7401;Saving;149633.96;0.0
2021/08/29 00:00:00.000;KN11000004060;CA7401;Saving;26.5;53.0
2021/08/29 00:00:00.000;KN11000004159;CA7401;Saving;2337.0;4674.0
2021/08/29 00:00:00.000;KN11000004258;CA7401;Saving;28.0;56.0
2021/08/29 00:00:00.000;KN11000004357;CA7401;Saving;170.0;340.0
2021/08/29 00:00:00.000;KN11000004456;CA7401;Saving;162922.2;325844.4
2021/08/29 00:00:00.000;KN11000004555;CA7401;Saving;36989.89;0.0
2021/08/29 00:00:00.000;KN11000004654;CA7401;Saving;51020.04;0.0
2021/08/29 00:00:00.000;KN11000004753;CA7401;Saving;230005.24;0.0
2021/08/29 00:00:00.000;KN11000004852;CA7401;Saving;214713.58;0.0
2021/08/29 00:00:00.000;KN11000004951;CA7401;Saving;1076.32;2152.64
2021/08/29 00:00:00.000;KN11000005050;CA7401;Saving;10507.22;0.0
2021/08/29 00:00:00.000;KN11000005149;CA7401;Saving;249.67;499.34
2021/08/29 00:00:00.000;KN11000005248;CA7401;Saving;18872.84;0.0
2021/08/29 00:00:00.000;KN11000005347;CA7401;Saving;439.0;878.0
2021/08/29 00:00:00.000;KN11000005446;CA7401;Saving;35775.85;0.0
2021/08/29 00:00:00.000;KN11000005545;CA7401;Saving;490753.88;0.0
2021/08/29 00:00:00.000;KN11000005644;CA7401;Saving;5.92;11.84
2021/08/29 00:00:00.000;KN11000005743;CA7401;Saving;6447.02;0.0
2021/08/29 00:00:00.000;KN11000005842;CA7401;Saving;847.88;0.0
2021/08/29 00:00:00.000;KN11000005941;CA7401;Saving;169752.64;0.0
2021/08/29 00:00:00.000;KN11000006040;CA7401;Saving;13218.75;26437.5
2021/08/29 00:00:00.000;KN11000006139;CA7401;Saving;1078.37;2156.74
2021/08/29 00:00:00.000;KN11000006238;CA7401;Saving;18466.34;0.0
2021/08/29 00:00:00.000;KN11000006337;CA7401;Saving;3450.3;6900.6
2021/08/29 00:00:00.000;KN11000006436;CA7401;Saving;10313.39;0.0
2021/08/29 00:00:00.000;KN11000006535;CA7401;Saving;65025.0;130050.0
2021/08/29 00:00:00.000;KN11000006634;CA7401;Saving;92569.0;0.0
2021/08/29 00:00:00.000;KN11000006733;CA7401;Saving;26.28;52.56
2021/08/29 00:00:00.000;KN11000006832;CA7401;Saving;257.1;514.2
2021/08/29 00:00:00.000;KN11000006931;CA7401;Saving;106020.97;0.0
2021/08/29 00:00:00.000;KN11000007030;CA7401;Saving;27279.07;54558.14
2021/08/29 00:00:00.000;KN11000007129;CA7401;Saving;246128.2;492256.4
2021/08/29 00:00:00.000;KN11000007228;CA7401;Saving;85872.46;0.0
2021/08/29 00:00:00.000;KN11000007327;CA7401;Saving;235.48;0.0
2021/08/29 00:00:00.000;KN11000007426;CA7401;Saving;2075.0;4150.0
2021/08/29 00:00:00.000;KN11000007525;CA7401;Saving;6085.0;12170.0
2021/08/29 00:00:00.000;KN11000007624;CA7401;Saving;1.94;3.88
2021/08/29 00:00:00.000;KN11000007723;CA7401;Saving;67316.4;134632.8
2021/08/29 00:00:00.000;KN11000007822;CA7401;Saving;0.0;0.0
2021/08/29 00:00:00.000;KN11000007921;CA7401;Saving;98382.24;0.0
2021/08/29 00:00:00.000;KN11000008020;CA7401;Saving;87891.0;0.0
2021/08/29 00:00:00.000;KN11000008119;CA7401;Saving;0.5;1.0
2021/08/29 00:00:00.000;KN11000008218;CA7401;Saving;1223.42;2446.84
2021/08/29 00:00:00.000;KN11000008317;CA7401;Saving;637313.47;0.0
2021/08/29 00:00:00.000;KN11000008416;CA7401;Saving;1952380.0;3904760.0
2021/08/29 00:00:00.000;KN11000008515;CA7401;Saving;55785.68;0.0
2021/08/29 00:00:00.000;KN11000008614;CA7401;Saving;390941.3;0.0
2021/08/29 00:00:00.000;KN11000008713;CA7401;Saving;3.9;7.8
2021/08/29 00:00:00.000;KN11000008812;CA7401;Saving;6.81;13.62
2021/08/29 00:00:00.000;KN11000008911;CA7401;Saving;995294.0;1990588.0
2021/08/29 00:00:00.000;KN11000009010;CA7401;Saving;1988.67;3977.34
2021/08/29 00:00:00.000;KN11000009109;CA7401;Saving;396551.97;0.0
2021/08/29 00:00:00.000;KN11000009208;CA7401;Saving;31.0;62.0
2021/08/29 00:00:00.000;KN11000009307;CA7401;Saving;218496.51;0.0
2021/08/29 00:00:00.000;KN11000009406;CA7401;Saving;7689.37;0.0
2021/08/29 00:00:00.000;KN11000009505;CA7401;Saving;13.18;26.36
2021/08/29 00:00:00.000;KN11000009604;CA7401;Saving;37122.58;0.0
2021/08/29 00:00:00.000;KN11000009703;CA7401;Saving;60826.03;121652.06
2021/08/29 00:00:00.000;KN11000009802;CA7401;Saving;123595.0;247190.0
2021/08/29 00:00:00.000;KN11000009901;CA7401;Saving;3207972.63;0.0
2021/08/29 00:00:00.000;KN11000010000;CA7401;Saving;93504.0;187008.0
2021/08/29 00:00:00.000;KN11000000002;CA7402;Current;34108.4;0.0
2021/08/29 00:00:00.000;KN11000000101;CA7402;Current;7402.73;0.0
2021/08/29 00:00:00.000;KN11000000200;CA7402;Current;565479.99;0.0
2021/08/29 00:00:00.000;KN11000000299;CA7402;Current;452140.91;0.0
2021/08/29 00:00:00.000;KN11000000398;CA7402;Current;39.5;79.0
2021/08/29 00:00:00.000;KN11000000497;CA7402;Current;306188.49;0.0
2021/08/29 00:00:00.000;KN11000000596;CA7402;Current;23474.4;46948.8
2021/08/29 00:00:00.000;KN11000000695;CA7402;Current;554924.2;1109848.4
2021/08/29 00:00:00.000;KN11000000794;CA7402;Current;437.4;874.8
2021/08/29 00:00:00.000;KN11000000893;CA7402;Current;28545.0;57090.0
2021/08/29 00:00:00.000;KN11000000992;CA7402;Current;1.0;2.0
2021/08/29 00:00:00.000;KN11000001091;CA7402;Current;2324757.66;0.0
2021/08/29 00:00:00.000;KN11000001190;CA7402;Current;48.0;96.0
2021/08/29 00:00:00.000;KN11000001289;CA7402;Current;227149.9;0.0
2021/08/29 00:00:00.000;KN11000001388;CA7402;Current;5852.34;0.0
2021/08/29 00:00:00.000;KN11000001487;CA7402;Current;37561.56;0.0
2021/08/29 00:00:00.000;KN11000001586;CA7402;Current;2.0;4.0
2021/08/29 00:00:00.000;KN11000001685;CA7402;Current;12385.6;0.0
2021/08/29 00:00:00.000;KN11000001784;CA7402;Current;329543.98;0.0
2021/08/29 00:00:00.000;KN11000001883;CA7402;Current;1309383.25;2618766.5
2021/08/29 00:00:00.000;KN11000001982;CA7402;Current;1934.0;3868.0
2021/08/29 00:00:00.000;KN11000002081;CA7402;Saving;649527.8;1299055.6
2021/08/29 00:00:00.000;KN11000002180;CA7402;Saving;12.2;0.0
2021/08/29 00:00:00.000;KN11000002279;CA7402;Saving;7.4;14.8
2021/08/29 00:00:00.000;KN11000002378;CA7402;Saving;225921.66;0.0
2021/08/29 00:00:00.000;KN11000002477;CA7402;Saving;371.8;743.6
2021/08/29 00:00:00.000;KN11000002576;CA7402;Saving;57.07;114.14
2021/08/29 00:00:00.000;KN11000002675;CA7402;Saving;95253.21;0.0
2021/08/29 00:00:00.000;KN11000002774;CA7402;Saving;16.9;33.8
2021/08/29 00:00:00.000;KN11000002873;CA7402;Saving;813578.0;1627156.0
2021/08/29 00:00:00.000;KN11000002972;CA7402;Saving;656577.0;1313154.0
2021/08/29 00:00:00.000;KN11000003071;CA7402;Saving;1621634.2;3243268.4
2021/08/29 00:00:00.000;KN11000003170;CA7402;Saving;4.11;8.22
2021/08/29 00:00:00.000;KN11000003269;CA7402;Saving;30.85;0.0
2021/08/29 00:00:00.000;KN11000003368;CA7402;Saving;27.4;54.8
2021/08/29 00:00:00.000;KN11000003467;CA7402;Saving;169.1;0.0
2021/08/29 00:00:00.000;KN11000003566;CA7402;Saving;1770190.0;3540380.0
2021/08/29 00:00:00.000;KN11000003665;CA7402;Saving;36.0;72.0
2021/08/29 00:00:00.000;KN11000003764;CA7402;Saving;194953.15;0.0
2021/08/29 00:00:00.000;KN11000003863;CA7402;Saving;62.32;124.64
2021/08/29 00:00:00.000;KN11000003962;CA7402;Saving;27072.5;54145.0
2021/08/29 00:00:00.000;KN11000004061;CA7402;Saving;4.0;8.0
2021/08/29 00:00:00.000;KN11000004160;CA7402;Saving;11.4;22.8
2021/08/29 00:00:00.000;KN11000004259;CA7402;Saving;83420.0;166840.0
2021/08/29 00:00:00.000;KN11000004358;CA7402;Saving;96.5;0.0
2021/08/29 00:00:00.000;KN11000004457;CA7402;Saving;7.0;14.0
2021/08/29 00:00:00.000;KN11000004556;CA7402;Saving;9552.0;19104.0
2021/08/29 00:00:00.000;KN11000004655;CA7402;Saving;1400.45;2800.9
2021/08/29 00:00:00.000;KN11000004754;CA7402;Saving;2274.0;4548.0
2021/08/29 00:00:00.000;KN11000004853;CA7402;Saving;322070.37;0.0
2021/08/29 00:00:00.000;KN11000004952;CA7402;Saving;2837.02;0.0
2021/08/29 00:00:00.000;KN11000005051;CA7402;Saving;30.0;60.0
2021/08/29 00:00:00.000;KN11000005150;CA7402;Saving;4.11;8.22
2021/08/29 00:00:00.000;KN11000005249;CA7402;Saving;227.0;454.0
2021/08/29 00:00:00.000;KN11000005348;CA7402;Saving;80204.9;0.0
2021/08/29 00:00:00.000;KN11000005447;CA7402;Saving;17887.93;0.0
2021/08/29 00:00:00.000;KN11000005546;CA7402;Saving;1.0;2.0
2021/08/29 00:00:00.000;KN11000005645;CA7402;Saving;7.0;14.0
2021/08/29 00:00:00.000;KN11000005744;CA7402;Saving;8596.03;0.0
2021/08/29 00:00:00.000;KN11000005843;CA7402;Saving;180.0;360.0
2021/08/29 00:00:00.000;KN11000005942;CA7402;Saving;9792.32;19584.64
2021/08/29 00:00:00.000;KN11000006041;CA7402;Saving;1561.13;0.0
2021/08/29 00:00:00.000;KN11000006140;CA7402;Saving;301004.0;0.0
2021/08/29 00:00:00.000;KN11000006239;CA7402;Saving;25513.3;51026.6
2021/08/29 00:00:00.000;KN11000006338;CA7402;Saving;97349.69;0.0
2021/08/29 00:00:00.000;KN11000006437;CA7402;Saving;18564.09;0.0
2021/08/29 00:00:00.000;KN11000006536;CA7402;Saving;272.08;544.16
2021/08/29 00:00:00.000;KN11000006635;CA7402;Saving;468.0;936.0
2021/08/29 00:00:00.000;KN11000006734;CA7402;Saving;167381.09;0.0
2021/08/29 00:00:00.000;KN11000006833;CA7402;Saving;2088867.75;4177735.5
2021/08/29 00:00:00.000;KN11000006932;CA7402;Saving;3412.8;6825.6
2021/08/29 00:00:00.000;KN11000007031;CA7402;Saving;770364.2;1540728.4
2021/08/29 00:00:00.000;KN11000007130;CA7402;Saving;385819.86;0.0
2021/08/29 00:00:00.000;KN11000007229;CA7402;Saving;1399.0;2798.0
2021/08/29 00:00:00.000;KN11000007328;CA7402;Saving;9015.19;18030.38
2021/08/29 00:00:00.000;KN11000007427;CA7402;Saving;177.3;354.6
2021/08/29 00:00:00.000;KN11000007526;CA7402;Saving;279013.42;0.0
2021/08/29 00:00:00.000;KN11000007625;CA7402;Saving;349978.09;0.0
2021/08/29 00:00:00.000;KN11000007724;CA7402;Saving;49606.21;0.0
2021/08/29 00:00:00.000;KN11000007823;CA7402;Saving;1196974.0;2393948.0
2021/08/29 00:00:00.000;KN11000007922;CA7402;Saving;43725.44;0.0
2021/08/29 00:00:00.000;KN11000008021;CA7402;Saving;1463.0;2926.0
2021/08/29 00:00:00.000;KN11000008120;CA7402;Saving;14819.1;0.0
2021/08/29 00:00:00.000;KN11000008219;CA7402;Saving;184919.0;369838.0
2021/08/29 00:00:00.000;KN11000008318;CA7402;Saving;1831898.0;3663796.0
2021/08/29 00:00:00.000;KN11000008417;CA7402;Saving;1186616.45;0.0
2021/08/29 00:00:00.000;KN11000008516;CA7402;Saving;125517.77;0.0
