Year	Social Security Number	Customer name	Closing Balance	Pay Out Amount	currency
Year	Social Security Number	Customer name	Closing Balance	Pay Out Amount	currency
2020.0	20000001.0	James Butt	46000.0	46000.0	EUR
2020.0	20000002.0	Josephine Darakjy	1200.0	1200.0	EUR
2020.0	20000005.0	Donette Foller	900.0	900.0	EUR
2020.0	20000006.0	Simona Morasca	251000.0	100000.0	EUR
Year	Social Security Number	Customer name	Closing Balance	Pay Out Amount	currency
2020.0	20000001.0	James Butt	46000.0	46000.0	EUR
2020.0	20000002.0	Josephine Darakjy	1200.0	1200.0	EUR
2020.0	20000005.0	Donette Foller	900.0	900.0	EUR
2020.0	20000006.0	Simona Morasca	251000.0	100000.0	EUR
